output,status,land,labor,labor_family,labor_hired,seed,urea,phosphate,pesticide,region
7980,owner,3,2915,40,2875,90,900,80,6000,wargabinangun
4083,owner,2,2155,45,2110,40,600,0,3000,wargabinangun
2650,owner,1,1075,95,980,100,700,150,5000,wargabinangun
4500,owner,2,2091,10,2081,60,600,100,5000,wargabinangun
16300,share,3.572,3889,1,3889,105,400,400,10200,wargabinangun
17424,share,3.572,3519,1,3519,105,400,400,10200,wargabinangun
3840,mixed,1.42,810,140,670,50,120,0,0,wargabinangun
2800,mixed,1.42,855,50,805,20,100,0,0,wargabinangun
950,mixed,0.428,460,80,380,15,150,50,900,wargabinangun
240,owner,0.214,109,69,40,7,50,0,0,wargabinangun
1500,share,0.428,230,20,210,15,100,50,2000,wargabinangun
2280,share,0.428,180,1,180,15,100,50,2000,wargabinangun
280,owner,0.1,118,108,10,5,20,0,0,wargabinangun
940,owner,0.286,163,63,100,10,75,0,0,wargabinangun
240,owner,0.07,80,57,23,10,15,0,0,wargabinangun
848,share,0.307,278,206,72,7,60,10,350,wargabinangun
480,owner,0.086,76,61,15,5,50,25,2000,wargabinangun
420,owner,0.086,54,39,15,5,40,10,500,wargabinangun
1200,owner,0.286,265,233,32,10,50,0,0,wargabinangun
960,owner,0.286,263,231,32,10,50,0,0,wargabinangun
360,owner,0.284,130,65,65,10,100,0,0,wargabinangun
720,owner,0.357,350,350,1,10,100,0,450,wargabinangun
1480,owner,0.357,178,178,1,10,100,50,1500,wargabinangun
1880,owner,0.357,92,92,1,10,100,90,0,wargabinangun
1240,mixed,0.286,206,133,73,5,25,0,0,wargabinangun
780,mixed,0.17,193,78,115,5,25,0,0,wargabinangun
1200,mixed,0.56,550,65,485,25,150,0,0,wargabinangun
750,owner,0.286,130,55,75,5,50,0,0,wargabinangun
3000,owner,0.357,176,140,36,20,150,100,4800,wargabinangun
2400,owner,0.357,120,85,35,12,150,100,4150,wargabinangun
887,share,0.18,156,126,30,5,100,0,0,wargabinangun
1553,share,0.36,262,212,50,10,75,0,0,wargabinangun
716,share,0.355,452,304,148,20,40,0,0,wargabinangun
480,share,0.14,166,110,56,10,40,0,0,wargabinangun
300,share,0.052,98,94,4,4,30,0,1200,wargabinangun
200,share,0.052,46,46,1,4,30,0,1200,wargabinangun
1080,owner,0.27,384,284,100,10,75,25,300,wargabinangun
1260,owner,0.27,254,204,50,10,60,10,300,wargabinangun
1200,owner,0.28,383,81,302,20,100,20,650,wargabinangun
600,owner,0.286,380,85,295,10,60,10,1920,wargabinangun
960,owner,0.179,292,177,115,10,125,50,1600,wargabinangun
1200,owner,0.129,203,113,90,7,100,25,900,wargabinangun
2100,share,0.714,407,182,225,20,50,0,0,wargabinangun
