id,wage,exp,wks,ed,bluecol,south,smsa,married,union,black,sex,ind
1,399.0003061281244,6,38,9,no,yes,no,yes,no,no,male,0
2,686.7133664252842,33,32,11,yes,no,no,yes,no,no,male,0
3,712.2850359973546,9,50,12,yes,no,no,yes,yes,no,male,1
4,601.5711899262747,34,48,10,yes,no,yes,no,no,yes,female,0
5,1048.1435237491082,13,47,16,yes,no,no,yes,yes,no,male,0
6,1236.4276594276892,29,46,12,yes,no,yes,yes,no,no,male,1
7,555.5715972559734,18,47,12,yes,no,no,yes,yes,no,male,0
8,742.284719741217,26,50,10,yes,yes,no,yes,yes,no,male,1
9,1021.4292184490193,6,48,16,no,yes,yes,yes,no,no,male,0
10,677.8564168665653,6,43,16,no,yes,yes,yes,no,no,male,0
11,1042.8564644772603,27,42,12,yes,no,yes,no,yes,no,male,0
12,879.99893996051,24,47,12,yes,yes,yes,yes,yes,no,male,0
13,1313.2852208251477,29,48,12,yes,yes,yes,yes,no,no,male,0
14,1092.8584391708148,18,44,17,no,yes,yes,yes,no,no,male,0
15,495.9997805295878,12,47,14,no,no,no,no,no,no,female,0
16,428.2859534712418,19,49,12,yes,yes,yes,no,no,yes,female,0
17,977.1436928140145,19,49,14,no,no,no,yes,no,no,male,1
18,1885.1393478014984,28,47,16,no,yes,yes,yes,no,no,male,1
19,790.284189843825,43,42,12,yes,no,yes,yes,yes,no,male,1
20,1154.145385479959,28,49,16,no,no,no,yes,no,no,male,0
21,509.57121247981223,31,46,4,yes,yes,no,yes,yes,no,male,1
22,897.1438413857804,23,47,14,no,no,no,yes,no,no,male,0
23,2043.0010305388826,14,49,16,no,no,yes,yes,no,no,male,0
24,291.4280525391482,8,48,12,no,no,no,no,no,no,female,0
25,855.7135663033717,11,39,17,no,no,yes,yes,yes,no,male,0
26,1170.428731460571,17,48,15,no,yes,yes,yes,no,no,male,1
27,1105.7154949277876,11,45,16,no,no,yes,no,no,no,male,0
28,841.1424426894566,29,50,12,yes,no,yes,yes,no,no,male,0
29,1563.2823552743912,34,49,14,no,no,yes,yes,no,no,male,0
30,616.7142209432717,20,48,12,no,yes,yes,no,no,no,female,0
31,1514.4271822331445,25,47,17,no,no,yes,yes,no,no,male,1
32,1833.7122720072646,33,48,16,no,no,yes,yes,no,no,male,1
33,1355.8565784148211,17,49,16,no,no,yes,yes,no,no,male,0
