id,time,output,land,labor,hiredlabor,famlabor,seed,urea,pest,varieties,status,bimas,region,price
101001,1999,7980,3,2915,2875,40,90,900,6000,mixed,owner,mixed,wargabinangun,60
101001,2000,4083,2,2155,2110,45,40,600,3000,trad,owner,mixed,wargabinangun,60
101001,2001,2650,1,1075,980,95,100,700,5000,high,owner,mixed,wargabinangun,65
101001,2002,4500,2,2091,2081,10,60,600,5000,high,owner,mixed,wargabinangun,70
101001,2003,16300,3.572,3889,3889,1,105,400,10200,high,share,no,wargabinangun,120
101001,2004,17424,3.572,3519,3519,1,105,400,10200,high,share,no,wargabinangun,140
101017,1999,3840,1.42,810,670,140,50,120,0,trad,mixed,mixed,wargabinangun,60
101017,2000,2800,1.42,855,805,50,20,100,0,high,mixed,mixed,wargabinangun,50
101017,2001,950,0.428,460,380,80,15,150,900,high,mixed,mixed,wargabinangun,62
101017,2002,240,0.214,109,40,69,7,50,0,mixed,owner,no,wargabinangun,60
101017,2003,1500,0.428,230,210,20,15,100,2000,high,share,no,wargabinangun,110
101017,2004,2280,0.428,180,180,1,15,100,2000,high,share,no,wargabinangun,130
101026,1999,280,0.1,118,10,108,5,20,0,high,owner,no,wargabinangun,65
101026,2000,940,0.286,163,100,63,10,75,0,high,owner,no,wargabinangun,50
101026,2001,240,0.07,80,23,57,10,15,0,high,owner,no,wargabinangun,60
101026,2002,848,0.307,278,72,206,7,60,350,mixed,share,no,wargabinangun,60
101026,2003,480,0.086,76,15,61,5,50,2000,high,owner,no,wargabinangun,120
101026,2004,420,0.086,54,15,39,5,40,500,high,owner,no,wargabinangun,130
101035,1999,1200,0.286,265,32,233,10,50,0,high,owner,no,wargabinangun,60
101035,2000,960,0.286,263,32,231,10,50,0,mixed,owner,no,wargabinangun,65
101035,2001,360,0.284,130,65,65,10,100,0,high,owner,no,wargabinangun,60
101035,2002,720,0.357,350,1,350,10,100,450,high,owner,no,wargabinangun,65
101035,2003,1480,0.357,178,1,178,10,100,1500,high,owner,no,wargabinangun,100
101035,2004,1880,0.357,92,1,92,10,100,0,high,owner,no,wargabinangun,130
101056,1999,1240,0.286,206,73,133,5,25,0,high,mixed,no,wargabinangun,70
101056,2000,780,0.17,193,115,78,5,25,0,high,mixed,no,wargabinangun,75
101056,2001,1200,0.56,550,485,65,25,150,0,high,mixed,no,wargabinangun,60
101056,2002,750,0.286,130,75,55,5,50,0,mixed,owner,no,wargabinangun,60
101056,2003,3000,0.357,176,36,140,20,150,4800,high,owner,no,wargabinangun,110
101056,2004,2400,0.357,120,35,85,12,150,4150,high,owner,no,wargabinangun,140
101057,1999,887,0.18,156,30,126,5,100,0,trad,share,no,wargabinangun,50
101057,2000,1553,0.36,262,50,212,10,75,0,high,share,no,wargabinangun,60
101057,2001,716,0.355,452,148,304,20,40,0,high,share,no,wargabinangun,60
101057,2002,480,0.14,166,56,110,10,40,0,high,share,no,wargabinangun,60
101057,2003,300,0.052,98,4,94,4,30,1200,high,share,no,wargabinangun,110
101057,2004,200,0.052,46,1,46,4,30,1200,high,share,no,wargabinangun,120
101067,1999,1080,0.27,384,100,284,10,75,300,high,owner,no,wargabinangun,60
101067,2000,1260,0.27,254,50,204,10,60,300,high,owner,no,wargabinangun,70
101067,2001,1200,0.28,383,302,81,20,100,650,high,owner,no,wargabinangun,65
101067,2002,600,0.286,380,295,85,10,60,1920,high,owner,no,wargabinangun,60
101067,2003,960,0.179,292,115,177,10,125,1600,high,owner,no,wargabinangun,100
101067,2004,1200,0.129,203,90,113,7,100,900,high,owner,no,wargabinangun,130
101068,1999,2100,0.714,407,225,182,20,50,0,trad,share,no,wargabinangun,60
101068,2000,1867,0.714,580,390,190,30,80,0,trad,share,no,wargabinangun,55
101068,2001,1200,0.355,239,30,209,15,75,0,high,share,no,wargabinangun,60
