id,year,exper,hours,bluecol,ind,south,smsa,married,union,educ,black,lwage,female,wage
1,82,3,32,no,0,yes,no,yes,0,9,no,5.56068,1,259.99957593630853
1,83,4,43,no,0,yes,no,yes,0,9,no,5.72031,1,304.99945813522066
1,84,5,40,no,0,yes,no,yes,0,9,no,5.99645,1,401.9991603760305
1,85,6,39,no,0,yes,no,yes,0,9,no,5.99645,1,401.9991603760305
1,86,7,42,no,1,yes,no,yes,0,9,no,6.06146,1,429.0013217819171
1,87,8,35,no,1,yes,no,yes,0,9,no,6.17379,1,480.0018701307137
1,88,9,32,no,1,yes,no,yes,0,9,no,6.2441700000000004,1,515.0015961606497
2,82,30,34,yes,0,no,no,yes,0,11,no,6.16331,1,474.99771808902665
2,83,31,27,yes,0,no,no,yes,0,11,no,6.21461,1,500.0009507898083
2,84,32,33,yes,1,no,no,yes,1,11,no,6.2634,1,525.0009121401898
2,85,33,30,yes,1,no,no,yes,0,11,no,6.54391,1,694.9987173336533
2,86,34,30,yes,1,no,no,yes,0,11,no,6.69703,1,809.9965593974547
2,87,35,37,yes,1,no,no,yes,0,11,no,6.79122,1,889.9986981746471
2,88,36,30,yes,1,no,no,yes,0,11,no,6.81564,1,912.00000905221
3,82,6,50,yes,1,no,no,yes,1,12,no,5.65249,1,285.00023362353045
3,83,7,51,yes,1,no,no,yes,1,12,no,6.43615,1,623.9997701375192
3,84,8,50,yes,1,no,no,yes,1,12,no,6.54822,1,698.0006262721448
3,85,9,52,yes,1,no,no,yes,1,12,no,6.60259,1,737.0015534580963
3,86,10,52,yes,1,no,no,yes,1,12,no,6.6958,1,809.0008761001548
3,87,11,52,yes,1,no,no,no,1,12,no,6.77878,1,878.995694945272
3,88,12,46,yes,1,no,no,no,1,12,no,6.86066,1,953.9964974447646
4,82,31,52,yes,0,no,yes,no,0,10,yes,6.15698,0,472.0004788038607
4,83,32,46,yes,0,no,yes,no,0,10,yes,6.23832,0,511.997631985248
4,84,33,46,yes,0,no,yes,no,0,10,yes,6.30079,0,545.0022919133512
4,85,34,49,yes,0,no,yes,no,0,10,yes,6.35957,0,577.997763911691
4,86,35,44,yes,0,no,yes,no,0,10,yes,6.46925,0,644.9997956667589
4,87,36,52,yes,0,no,yes,no,0,10,yes,6.56244,0,707.9971016707785
4,88,37,46,yes,0,no,yes,no,0,10,yes,6.62141,0,751.0032655322344
5,82,10,50,yes,0,no,no,yes,1,16,no,6.43775,1,624.9989689155998
5,83,11,46,yes,0,no,no,yes,1,16,no,6.62007,1,749.9975951060887
5,84,12,40,yes,0,no,no,yes,1,16,no,6.63332,1,760.0011907078467
5,85,13,50,no,0,no,no,yes,0,16,no,6.98286,1,1077.9970339205602
5,86,14,47,yes,0,no,yes,yes,0,16,no,7.04752,1,1150.003195443549
5,87,15,47,no,0,no,no,yes,0,16,no,7.31322,1,1499.9994193646608
5,88,16,49,no,0,no,no,yes,0,16,no,7.29574,1,1474.0072627854518
6,82,26,44,yes,1,no,yes,yes,0,12,no,6.90575,1,997.9967302465157
6,83,27,47,yes,1,no,yes,yes,0,12,no,6.90575,1,997.9967302465157
6,84,28,47,yes,1,no,yes,yes,0,12,no,6.90776,1,1000.0047210290066
6,85,29,47,yes,1,no,yes,yes,0,12,no,7.00307,1,1100.0049953462344
6,86,30,44,yes,1,no,yes,yes,0,12,no,7.06902,1,1174.9959737774434
6,87,31,45,yes,1,no,yes,yes,0,12,no,7.52023,1,1844.991593323464
6,88,32,47,yes,1,no,yes,yes,0,12,no,7.33889,1,1539.0028720246448
7,82,15,46,yes,0,no,no,yes,1,12,no,6.1334,1,461.0009021794278
7,83,16,48,yes,0,no,no,yes,1,12,no,6.17379,1,480.0018701307137
7,84,17,49,yes,0,no,no,yes,1,12,no,6.21261,1,499.00194822379524
7,85,18,46,yes,0,no,no,yes,1,12,no,6.31355,1,552.001078456097
7,86,19,47,yes,0,no,no,yes,1,12,no,6.37502,1,586.9971707677257
7,87,20,47,yes,0,no,no,yes,1,12,no,6.44572,1,630.0001137870956
7,88,21,48,yes,0,no,no,yes,1,12,no,6.52209,1,679.9980972469588
8,82,23,51,yes,1,yes,no,yes,1,10,no,6.3315,1,561.9989603607073
8,83,24,50,yes,1,yes,no,yes,1,10,no,6.40357,1,603.997464452694
8,84,25,50,yes,1,yes,no,yes,1,10,no,6.54391,1,694.9987173336533
8,85,26,50,yes,1,yes,no,yes,1,10,no,6.56244,1,707.9971016707785
8,86,27,44,yes,1,no,yes,yes,1,10,no,6.59167,1,728.9972793707647
8,87,28,51,yes,1,no,yes,yes,1,10,no,6.81783,1,913.999477691056
8,88,29,51,yes,1,no,yes,yes,1,10,no,6.89163,1,984.0040373088652
9,82,3,50,no,0,yes,yes,yes,0,16,no,6.55108,1,699.9997654696559
9,83,4,48,no,0,yes,yes,yes,0,16,no,6.55108,1,699.9997654696559
9,84,5,50,no,0,yes,yes,yes,0,16,no,6.80239,1,899.9957130183304
9,85,6,48,no,0,yes,yes,yes,0,16,no,6.90776,1,1000.0047210290066
9,86,7,48,no,0,yes,yes,yes,0,16,no,7.09008,1,1200.0037970746978
9,87,8,44,no,0,yes,yes,yes,0,16,no,7.17012,1,1300.0005935156187
9,88,9,48,no,0,yes,yes,yes,0,16,no,7.20786,1,1350.00017356617
10,82,3,49,no,0,yes,yes,yes,0,16,no,6.39693,1,600.0002068703479
10,83,4,47,no,0,yes,yes,yes,0,16,no,6.43775,1,624.9989689155998
10,84,5,46,no,0,yes,yes,yes,0,16,no,6.43775,1,624.9989689155998
10,85,6,44,no,0,yes,yes,yes,0,16,no,6.43775,1,624.9989689155998
10,86,7,43,no,0,yes,yes,yes,0,16,no,6.52209,1,679.9980972469588
10,87,8,34,no,0,yes,yes,yes,0,16,no,6.61338,1,744.9968573138569
10,88,9,40,no,0,yes,yes,yes,0,16,no,6.73934,1,845.0028498879942
11,82,24,47,yes,0,no,yes,no,1,12,no,6.65801,1,778.9991852671131
11,83,25,48,yes,0,no,yes,no,1,12,no,6.72623,1,833.9971624376325
11,84,26,45,yes,0,no,yes,no,1,12,no,6.80239,1,899.9957130183304
11,85,27,45,yes,0,no,yes,yes,1,12,no,6.90776,1,1000.0047210290066
11,86,28,47,yes,0,no,yes,yes,1,12,no,7.03966,1,1140.999600807441
11,87,29,17,yes,0,no,yes,yes,1,12,no,7.12769,1,1245.9953906216679
11,88,30,47,yes,0,no,yes,yes,1,12,no,7.24423,1,1400.0034781596305
12,82,21,47,yes,0,yes,yes,yes,1,12,no,6.55108,1,699.9997654696559
12,83,22,46,yes,0,yes,yes,yes,1,12,no,6.62936,1,756.9975371518577
12,84,23,47,yes,0,yes,yes,yes,1,12,no,6.72263,1,831.0001704751397
12,85,24,47,yes,0,yes,yes,yes,1,12,no,6.7334,1,839.998410858121
12,86,25,47,yes,0,yes,yes,yes,1,12,no,6.72263,1,831.0001704751397
12,87,26,47,yes,0,yes,yes,yes,1,12,no,6.95177,1,1044.9977382055852
12,88,27,46,yes,0,yes,yes,yes,1,12,no,7.05272,1,1155.9987870880711
13,82,26,48,yes,0,yes,yes,yes,0,12,no,6.90575,1,997.9967302465157
13,83,27,48,yes,0,yes,yes,yes,0,12,no,6.90073,1,992.9993406033628
13,84,28,50,yes,0,yes,yes,yes,0,12,no,7.17012,1,1300.0005935156187
13,85,29,48,yes,0,yes,yes,yes,0,12,no,7.26543,1,1430.0003957469023
13,86,30,48,yes,0,yes,yes,yes,0,12,no,7.25912,1,1421.0055019846718
13,87,31,46,no,0,yes,yes,yes,0,12,no,7.25488,1,1414.993193756936
13,88,32,46,yes,0,yes,yes,yes,0,12,no,7.40001,1,1636.000789922026
14,82,15,45,no,0,yes,yes,yes,0,17,no,6.80239,1,899.9957130183304
14,83,16,45,no,0,yes,yes,yes,0,17,no,6.80239,1,899.9957130183304
14,84,17,45,no,0,yes,yes,yes,0,17,no,6.9256,1,1018.0048893532852
14,85,18,44,no,0,yes,yes,yes,0,17,no,7.00307,1,1100.0049953462344
14,86,19,44,no,0,yes,yes,yes,0,17,no,7.1309,1,1250.001462130421
14,87,20,44,no,0,yes,yes,yes,0,17,no,7.12448,1,1242.0021579850422
14,88,21,44,no,0,yes,yes,yes,0,17,no,7.12287,1,1240.0041433440597
15,82,9,50,no,0,no,no,no,0,14,no,5.94017,0,379.9995239665343
15,83,10,46,no,0,no,no,no,0,14,no,5.86079,0,351.001325565984
15,84,11,48,no,0,no,no,no,0,14,no,5.99894,0,403.0013855378686
15,85,12,46,no,0,no,no,no,0,14,no,6.0845,0,439.0002576600755
