id,year,wage,hours,age,educ,exper,tenure,union,collgrad,married,never_married,black,south,cental_city
1,82,6.1,38,30,12,7.67,7.67,1,0,1,0,1,0,1
1,83,6.45,38,31,12,8.58,8.58,1,0,1,0,1,0,1
1,85,5.99,38,33,12,10.18,1.83,1,0,0,0,1,0,1
1,87,6.34,40,35,12,12.18,3.75,1,0,0,0,1,0,1
1,88,6.4,40,37,12,13.62,5.25,1,0,0,0,1,0,1
2,82,3.6,48,36,17,7.58,2.42,0,1,1,0,0,0,0
2,83,4.55,43,37,17,8.38,3.42,0,1,1,0,0,0,0
2,85,6.89,35,39,17,10.38,5.42,0,1,1,0,0,0,0
2,87,6.81,42,41,17,12.04,0.33,1,1,1,0,0,0,0
2,88,9.03,42,43,17,13.21,1.75,1,1,1,0,0,0,0
3,82,6.14,48,35,12,11.42,11.42,0,0,1,0,0,0,0
3,83,6.82,40,36,12,12.42,12.42,1,0,1,0,0,0,0
3,85,7.09,45,38,12,14.42,14.42,0,0,1,0,0,0,0
3,87,7.44,40,40,12,16.42,16.42,0,0,1,0,0,0,0
3,88,8.08,48,42,12,17.82,17.75,0,0,1,0,0,0,0
4,82,10.1,40,30,12,12.58,12.58,1,0,0,0,0,0,1
4,83,10.47,40,31,12,13.58,13.5,1,0,0,0,0,0,1
4,85,10.73,40,33,12,15.58,15.5,1,0,0,0,0,0,1
4,87,10.69,40,35,12,17.58,17.5,1,0,0,0,0,0,1
4,88,10.49,40,37,12,19.04,19,1,0,0,0,0,0,1
5,82,8.33,3,34,14,8.37,1,0,0,1,0,0,0,0
5,83,14.41,2,35,14,9.37,2,0,0,1,0,0,0,0
5,85,35.84,1,37,14,10.77,2.17,0,0,1,0,0,0,0
5,87,5.36,15,39,14,12.77,4,0,0,1,0,0,0,0
5,88,13.08,8,40,14,14.25,5.5,0,0,1,0,0,0,0
6,82,12.67,28,33,16,10.65,2.08,1,1,1,0,0,0,0
6,83,12.01,24,34,16,10.96,3,1,1,1,0,0,0,0
6,85,10.05,12,36,16,12.69,5,1,1,1,0,0,0,0
6,87,16.67,24,38,16,14.46,7,1,1,1,0,0,0,0
6,88,16.8,16,39,16,15.77,8.42,1,1,1,0,0,0,0
7,82,8.4,40,33,15,10.1,7.42,0,0,1,0,0,0,0
7,83,8.77,40,34,15,11.1,8.42,0,0,1,0,0,0,0
7,85,9.53,40,36,15,13.1,10.5,0,0,1,0,0,0,0
7,87,14.07,40,38,15,15.1,12.5,0,0,1,0,0,0,0
7,88,15.48,40,40,15,16.38,13.83,0,0,1,0,0,0,0
8,82,6.12,22,33,15,8.83,4.83,0,0,1,0,0,0,1
8,83,8.49,43,34,15,8.83,0.17,0,0,1,0,0,0,1
8,85,8.96,43,36,15,10.83,2.17,0,0,0,0,0,0,1
8,87,9.82,40,38,15,12.83,4.17,0,0,0,0,0,0,0
8,88,10.16,40,40,15,14.21,5.58,1,0,0,0,0,0,0
9,82,6.87,16,33,15,9.92,3.58,0,0,1,0,0,0,0
9,83,7.92,14,34,15,10.67,0.75,1,0,1,0,0,0,0
9,85,8.96,16,36,15,12.51,1.33,1,0,1,0,0,0,0
9,87,9.2,16,38,15,14.51,3.25,0,0,1,0,0,0,0
9,88,9.66,4,39,15,15.86,4.67,1,0,1,0,0,0,0
10,82,8.69,24,35,14,10.12,5.25,0,1,1,0,0,0,0
10,83,8.33,24,36,14,11.12,0,0,1,1,0,0,0,0
10,85,10.05,24,38,14,13.12,0,0,1,1,0,0,0,0
