"iso","base_sample","africa","asia","other","pgp95","hjypl","avexpr","extmort4","lat_abst"
"AFG",0,0,1,0,NA,NA,NA,93.69999694824219,0.36666667461395264
"AGO",1,1,0,0,2369.999780709564,0.03299999957959749,5.363636493682861,280,0.1366666704416275
"ARE",0,0,1,0,18109.99447705183,NA,7.181818008422852,NA,0.2666666805744171
"ARG",1,0,0,0,9259.997810438981,0.41800001826664956,6.386363506317139,68.9000015258789,0.3777777850627899
"ARM",0,0,1,0,2169.9995574279446,NA,NA,NA,0.4444444477558136
"AUS",1,0,0,1,19889.994730852803,0.8429999900191691,9.318181991577148,8.550000190734863,0.30000001192092896
"AUT",0,0,0,0,21479.995894315536,0.7089999970080281,9.727272987365723,NA,0.5244444608688354
"AZE",0,0,1,0,1490.000045223388,NA,NA,NA,0.44777777791023254
"BDI",0,1,0,0,710.0001481380073,0.029999998676496453,NA,280,0.036666665226221085
"BEL",0,0,0,0,21870.003735703587,0.836000025668219,9.681818008422852,NA,0.5611110925674438
"BEN",0,1,0,0,1200.0001051131283,0.05899999981055478,NA,266.5199890136719,0.10333333909511566
"BFA",1,1,0,0,940.0001469423567,0.029000001581680545,4.454545497894287,280,0.14444445073604584
"BGD",1,0,1,0,969.9999024367448,0.12700000981572507,5.136363506317139,71.410003662109375,0.2666666805744171
"BGR",0,0,0,0,4710.000236885801,NA,8.909090995788574,NA,0.47777777910232544
"BHR",0,0,1,0,16089.998395382356,NA,8,NA,0.2888889014720917
"BHS",1,0,0,0,10780.002478083316,NA,7.5,85,0.2683333158493042
"BIH",0,0,0,0,NA,NA,NA,NA,0.4888888895511627
"BLR",0,0,0,0,4189.999983218838,NA,NA,NA,0.5888888835906982
"BLZ",0,0,0,0,4350.00204783216,NA,NA,163.3000030517578,0.19055555760860443
"BOL",1,0,0,0,2769.999347402042,0.1400000005986785,5.636363506317139,71,0.18888889253139496
"BRA",1,0,0,0,6170.000423178141,0.3189999995802502,7.909090995788574,71,0.1111111119389534
"BRB",0,0,0,0,10580.000702271438,0.40400001631332133,NA,85,0.1455555558204651
"BTN",0,0,0,0,NA,NA,NA,NA,0.3033333122730255
"BWA",0,1,0,0,7010.00015625781,0.09400000267147034,7.7272725105285645,NA,0.24444444477558136
"CAF",0,1,0,0,1329.9997540020036,0.03299999957959749,NA,280,0.07777778059244156
"CAN",1,0,0,0,21730.00365906521,0.9409999837671043,9.727272987365723,16.100000381469727,0.6666666865348816
"CHE",0,0,0,0,24840.002770544277,0.874000010048475,10,NA,0.5222222208976746
"CHL",1,0,0,0,11340.004739639207,0.2630000095232815,7.818181991577148,68.9000015258789,0.3333333432674408
"CHN",0,0,1,0,2659.999513070387,0.05999999746727216,7.7727274894714355,118,0.3888888955116272
"CIV",1,1,0,0,1710.0000458337176,0.09700000096380672,7,668,0.08888889104127884
"CMR",1,1,0,0,1809.9996728463152,0.07599998959124818,6.454545497894287,280,0.06666667014360428
"COG",1,1,0,0,1670.0000854926514,0.12199999748824504,4.681818008422852,240,0.011111111380159855
"COL",1,0,0,0,6700.001910412004,0.2639999981452661,7.318181991577148,71,0.04444444552063942
"COM",0,1,0,0,1609.9998005659904,0.035000000016343825,NA,NA,0.1344444453716278
"CPV",0,1,0,0,2920.0006643289526,0.07599998959124818,NA,NA,0.17777778208255768
"CRI",1,0,0,0,6599.997836554739,0.2570000048084765,7.045454502105713,78.0999984741211,0.1111111119389534
"CZE",0,0,0,0,9939.995642468668,0.21100000608629482,8.863636016845703,NA,0.5494444370269775
"DEU",0,0,0,0,20649.999642042756,0.8180000140016561,NA,NA,0.5666666626930237
"DJI",0,1,0,0,NA,NA,NA,26,0.12555555999279022
"DNK",0,0,0,0,22149.9904914085,0.6900000013345436,9.727272987365723,NA,0.6222222447395325
"DOM",1,0,0,0,4290.001159082779,0.20599998877234446,6.181818008422852,130,0.21111111342906952
"DZA",1,1,0,0,4399.998478813679,0.32799999593007984,6.5,78.19999694824219,0.31111112236976624
"ECU",1,0,0,0,4769.998915416416,0.23700000426344464,6.545454502105713,71,0.02222222276031971
"EGY",1,1,0,0,2840.0006033704676,0.18700001344430964,6.7727274894714355,67.80000305175781,0.30000001192092896
"ERI",0,1,0,0,750.0000839633216,NA,NA,NA,0.1666666716337204
"ESP",0,0,0,0,15039.995294031401,0.6819999762023693,9.681818008422852,NA,0.4444444477558136
"EST",0,0,0,0,4420.000769783789,NA,NA,NA,0.6555555462837219
"ETH",1,1,0,0,450.0000457714798,NA,5.7272725105285645,26,0.08888889104127884
"FIN",0,0,0,0,18509.99281040894,0.7340000279827139,9.727272987365723,NA,0.7111111283302307
"FJI",0,0,0,1,4029.9985747053265,0.2730000071092299,NA,11.399999618530273,0.20000000298023224
"FRA",0,0,0,0,21239.99344387435,0.8180000140016561,9.727272987365723,2.880000114440918,0.5111111402511597
"GAB",1,1,0,0,7389.997609242569,0.15700000341752565,7.818181991577148,280,0.011111111380159855
"GBR",0,0,0,0,19500.00524308068,0.727000007319937,9.772727012634277,2.549999952316284,0.6000000238418579
"GEO",0,0,1,0,1590.0003651070217,NA,NA,NA,0.46666666865348816
"GHA",1,1,0,0,1579.9998254778743,0.05200000327096396,6.2727274894714355,668,0.08888889104127884
"GIN",1,1,0,0,1789.9996155379577,0.042999999052735015,6.545454502105713,483,0.12222222238779068
"GMB",1,1,0,0,1440.0001141376144,0.04799999671326705,8.272727012634277,1470,0.14755555987358093
"GNB",0,1,0,0,NA,0.0390000030781894,4.545454502105713,164.66000366210938,0.13333334028720856
"GRC",0,0,0,0,12060.003554486197,0.46900000598793673,7.818181991577148,NA,0.4333333373069763
"GTM",1,0,0,0,3999.998491594127,0.21000000466319882,5.136363506317139,71,0.17000000178813934
"GUY",1,0,0,0,2710.0004879609064,0.1050000021316107,5.886363506317139,32.18000030517578,0.0555555559694767
"HKG",1,0,1,0,23150.00621692372,0.6079999745635057,8.136363983154297,14.899999618530273,0.24611110985279083
"HND",1,0,0,0,2180.000495988526,0.12999998084459244,5.318181991577148,78.0999984741211,0.1666666716337204
"HRV",0,0,0,0,4529.999274899107,NA,NA,NA,0.5011110901832581
"HTI",1,0,0,0,1270.0002605924922,0.0570000066967074,3.7272727489471436,130,0.21111111342906952
"HUN",0,0,0,0,6700.001910412004,0.3070000133623832,9,NA,0.5222222208976746
"IDN",1,0,1,0,3199.998709238618,0.1099999999342067,7.590909004211426,170,0.05559999868273735
"IND",1,0,1,0,1519.2927562582029,0.0859999982692703,8.272727012634277,48.630001068115234,0.22220000624656677
